;Board Game Rank;Title;Geek Rating;Avg Rating;Num Voters;link
0;1;Gloomhaven (2017);8,607999999999999;8,9;24863;/boardgame/174430/gloomhaven
1;2;Pandemic Legacy: Season 1 (2015);8,488;8,64;31084;/boardgame/161936/pandemic-legacy-season-1
2;3;Through the Ages: A New Story of Civilization (2015);8,258;8,53;15653;/boardgame/182028/through-ages-new-story-civilization
3;4;Terraforming Mars (2016);8,243;8,4;38741;/boardgame/167791/terraforming-mars
4;5;Twilight Struggle (2005);8,173;8,32;34385;/boardgame/12333/twilight-struggle
5;6;Star Wars: Rebellion (2016);8,164;8,45;16567;/boardgame/187645/star-wars-rebellion
6;7;Gaia Project (2017);8,121;8,54;9239;/boardgame/220308/gaia-project
7;8;Scythe (2016);8,12;8,29;39504;/boardgame/169786/scythe
8;9;Twilight Imperium (Fourth Edition) (2017);8,085;8,73;6670;/boardgame/233078/twilight-imperium-fourth-edition
9;10;Great Western Trail (2016);8,081;8,29;19186;/boardgame/193738/great-western-trail
10;11;Terra Mystica (2012);8,047;8,19;32576;/boardgame/120677/terra-mystica
11;12;War of the Ring (Second Edition) (2012);8,033999999999999;8,42;9794;/boardgame/115746/war-ring-second-edition
12;13;The Castles of Burgundy (2011);8,011000000000001;8,13;36642;/boardgame/84876/castles-burgundy
13;14;Brass: Birmingham (2018);8,001;8,62;5543;/boardgame/224517/brass-birmingham
14;15;Spirit Island (2017);7,997999999999999;8,38;10930;/boardgame/162886/spirit-island
15;16;7 Wonders Duel (2015);7,99;8,12;40582;/boardgame/173346/7-wonders-duel
16;17;The 7th Continent (2017);7,931;8,42;8908;/boardgame/180263/7th-continent
17;18;Concordia (2013);7,93;8,1;19840;/boardgame/124361/concordia
18;19;Viticulture Essential Edition (2015);7,928999999999999;8,15;17544;/boardgame/183394/viticulture-essential-edition
19;20;Puerto Rico (2002);7,92;8,04;56354;/boardgame/3076/puerto-rico
20;21;Arkham Horror: The Card Game (2016);7,92;8,22;17469;/boardgame/205637/arkham-horror-card-game
21;22;Brass: Lancashire (2007);7,909;8,12;15004;/boardgame/28720/brass-lancashire
22;23;Caverna: The Cave Farmers (2013);7,905;8,07;23638;/boardgame/102794/caverna-cave-farmers
23;24;Mage Knight Board Game (2011);7,895;8,1;23475;/boardgame/96848/mage-knight-board-game
24;25;Agricola (2007);7,886;7,99;56897;/boardgame/31260/agricola
25;26;Orléans (2014);7,877000000000001;8,08;15860;/boardgame/164928/orleans
26;27;Mansions of Madness: Second Edition (2016);7,877000000000001;8,16;16560;/boardgame/205059/mansions-madness-second-edition
27;28;A Feast for Odin (2016);7,8660000000000005;8,18;11144;/boardgame/177736/feast-odin
28;29;Food Chain Magnate (2015);7,853;8,18;9666;/boardgame/175914/food-chain-magnate
29;30;Blood Rage (2015);7,847;8,03;25515;/boardgame/170216/blood-rage
30;31;Mechs vs. Minions (2016);7,814;8,13;11131;/boardgame/209010/mechs-vs-minions
31;32;Pandemic Legacy: Season 2 (2017);7,812;8,26;7182;/boardgame/221107/pandemic-legacy-season-2
32;33;Kingdom Death: Monster (2015);7,812;8,8;5849;/boardgame/55690/kingdom-death-monster
33;34;Star Wars: Imperial Assault (2014);7,801;8,08;16559;/boardgame/164153/star-wars-imperial-assault
34;35;Power Grid (Recharged Version) (2004);7,801;7,89;49875;/boardgame/2651/power-grid-recharged-version
35;36;Through the Ages: A Story of Civilization (2006);7,8;7,99;16871;/boardgame/25613/through-ages-story-civilization
36;37;Azul (2017);7,779;7,93;27837;/boardgame/230802/azul
37;38;Tzolk'in: The Mayan Calendar (2012);7,777;7,93;24445;/boardgame/126163/tzolk-mayan-calendar
38;39;Eclipse (2011);7,775;7,94;23961;/boardgame/72125/eclipse
39;40;Le Havre (2008);7,752999999999999;7,89;23069;/boardgame/35677/le-havre
40;41;Robinson Crusoe: Adventures on the Cursed Island (2012);7,7410000000000005;7,91;26787;/boardgame/121921/robinson-crusoe-adventures-cursed-island
41;42;The Voyages of Marco Polo (2015);7,731;7,94;15405;/boardgame/171623/voyages-marco-polo
42;43;Clans of Caledonia (2017);7,709;8,06;8937;/boardgame/216132/clans-caledonia
43;44;Android: Netrunner (2012);7,707000000000001;7,9;24294;/boardgame/124742/android-netrunner
44;45;7 Wonders (2010);7,689;7,78;68807;/boardgame/68448/7-wonders
45;46;Keyflower (2012);7,672000000000001;7,85;15912;/boardgame/122515/keyflower
46;47;Anachrony (2017);7,664;8,14;7080;/boardgame/185343/anachrony
